amfi_code,month,aum_crores,folio_count
100067,2023-01,7080.34,405579
100067,2023-02,7202.48,115644
100067,2023-03,6951.86,336219
100067,2023-04,7297.23,80481
100067,2023-05,7936.33,229146
100067,2023-06,7920.93,390770
100067,2023-07,8171.33,322458
100067,2023-08,7825.08,423921
100067,2023-09,7752.73,472937
100067,2023-10,7822.24,116242
100067,2023-11,8181.55,219979
100067,2023-12,8268.28,247700
100067,2024-01,8317.72,153876
100067,2024-02,8526.57,149618
100067,2024-03,8750.48,96103
100067,2024-04,8794.45,448598
100067,2024-05,9244.43,385669
100067,2024-06,9404.42,463588
100188,2023-01,234.28,481931
100188,2023-02,223.63,243302
100188,2023-03,213.44,107186
100188,2023-04,234.7,10047
100188,2023-05,257.42,305371
100188,2023-06,243.76,341217
100188,2023-07,242.04,394155
100188,2023-08,231.88,425641
100188,2023-09,222.54,229699
100188,2023-10,235.2,438552
100188,2023-11,248.43,260860
100188,2023-12,255.39,246765
100188,2024-01,244.62,487793
100188,2024-02,254.52,98346
100188,2024-03,273.99,121875
100188,2024-04,274.62,195868
100188,2024-05,276.04,329912
100188,2024-06,291.72,183398
100209,2023-01,3842.09,287772
100209,2023-02,4100.32,100080
100209,2023-03,3863.41,213130
100209,2023-04,4028.8,99552
100209,2023-05,4096.54,206165
100209,2023-06,4356.82,182576
100209,2023-07,4436.87,156801
100209,2023-08,4340.97,330228
100209,2023-09,4068.4,248946
100209,2023-10,4395.34,53115
100209,2023-11,4496.1,465099
100209,2023-12,5010.92,125414
100209,2024-01,5075.15,369132
100209,2024-02,5461.53,296485
100209,2024-03,5760.61,248117
100209,2024-04,5852.52,291191
100209,2024-05,5828.15,224964
100209,2024-06,5625.91,171515
100329,2023-01,870.19,348291
100329,2023-02,823.75,236317
100329,2023-03,791.82,249178
100329,2023-04,883.76,365563
100329,2023-05,825.17,335975
100329,2023-06,765.02,8116
100329,2023-07,778.35,233435
100329,2023-08,797.37,3577
100329,2023-09,844.73,409105
100329,2023-10,906.31,51665
100329,2023-11,897.43,23748
100329,2023-12,903.2,329431
100329,2024-01,932.16,480644
100329,2024-02,923.1,474535
100329,2024-03,965.32,317212
100329,2024-04,973.69,231706
100329,2024-05,985.69,233266
100329,2024-06,1034.36,218235
100431,2023-01,2765.78,60346
100431,2023-02,2813.83,499141
100431,2023-03,3141.94,243269
100431,2023-04,3255.97,315558
100431,2023-05,3346.75,313867
100431,2023-06,3265.8,359235
100431,2023-07,3539.24,84505
100431,2023-08,3512.51,106190
100431,2023-09,3598.25,200444
100431,2023-10,3717.62,88498
100431,2023-11,3708.42,277128
100431,2023-12,3535.4,158312
100431,2024-01,3659.65,177188
100431,2024-02,3602.37,300512
100431,2024-03,3777.77,355568
100431,2024-04,4028.33,187613
100431,2024-05,3674.45,51885
100431,2024-06,3572.76,92547
100500,2023-01,826.21,281715
100500,2023-02,830.85,336367
100500,2023-03,890.19,183420
100500,2023-04,911.59,267634
100500,2023-05,944.67,129924
100500,2023-06,964.88,52615
100500,2023-07,946.69,391579
100500,2023-08,907.64,193339
100500,2023-09,888.48,412836
100500,2023-10,886.03,216347
100500,2023-11,901.03,118674
100500,2023-12,892.88,102709
100500,2024-01,999.53,286096
100500,2024-02,968.38,127456
100500,2024-03,967.89,271632
100500,2024-04,891.05,146436
100500,2024-05,890.61,24421
100500,2024-06,912.17,100507
100642,2023-01,452.55,114350
100642,2023-02,456.11,258894
100642,2023-03,471.75,426844
100642,2023-04,477.01,287039
100642,2023-05,460.43,349266
100642,2023-06,445.91,250685
100642,2023-07,486.53,144907
100642,2023-08,482.94,129593
100642,2023-09,496.29,64887
100642,2023-10,529.76,27396
100642,2023-11,493.49,56889
100642,2023-12,508.92,331273
100642,2024-01,479.98,60976
100642,2024-02,490.39,180309
100642,2024-03,478.89,59677
100642,2024-04,492.55,220405
100642,2024-05,518.28,53092
100642,2024-06,540.01,172580
100711,2023-01,257.76,402886
100711,2023-02,264.79,149341
100711,2023-03,270.19,331969
100711,2023-04,291.15,492871
100711,2023-05,265.58,207981
100711,2023-06,261.17,7657
100711,2023-07,260.45,3258
100711,2023-08,275.93,127230
100711,2023-09,293.97,36732
100711,2023-10,285.78,80686
100711,2023-11,272.04,426176
100711,2023-12,291.67,268278
100711,2024-01,299.52,464602
100711,2024-02,292.96,132389
100711,2024-03,306.31,377428
100711,2024-04,284.64,93393
100711,2024-05,280.94,137254
100711,2024-06,301.38,357191
100875,2023-01,1874.4,144463
100875,2023-02,1765.29,484939
100875,2023-03,1796.91,191815
100875,2023-04,1794.01,411274
100875,2023-05,1784.78,203613
100875,2023-06,1852.42,413378
100875,2023-07,1895.26,380424
100875,2023-08,1945.3,5397
100875,2023-09,2029.34,311981
100875,2023-10,2024.51,266935
100875,2023-11,2073.46,7509
100875,2023-12,2125.08,286219
100875,2024-01,2182.49,19276
100875,2024-02,2241.07,1072
100875,2024-03,2349.99,336372
100875,2024-04,2397.16,383841
100875,2024-05,2419.99,325437
100875,2024-06,2506.95,36445
100952,2023-01,1688.37,283079
100952,2023-02,1629.43,390731
100952,2023-03,1660.76,97307
