nav_date,amfi_code,nav,change_pct,daily_return_pct
2024-01-01,100067,425.7581,-0.364,
2024-01-02,100067,421.6907,-1.4491,-0.9553
2024-01-03,100067,412.8895,1.0618,-2.0871
2024-01-04,100067,409.2754,0.6136,-0.8753
2024-01-05,100067,406.2717,1.6353,-0.7339
2024-01-08,100067,405.4005,-0.4699,-0.2144
2024-01-09,100067,408.2261,0.3757,0.697
2024-01-10,100067,410.3506,-0.0428,0.5204
2024-01-11,100067,417.5828,0.3377,1.7624
2024-01-12,100067,422.0415,-0.9766,1.0677
2024-01-15,100067,422.1141,0.1827,0.0172
2024-01-16,100067,425.601,-0.0602,0.8261
2024-01-17,100067,421.7952,-0.8685,-0.8942
2024-01-18,100067,417.9466,0.6307,-0.9124
2024-01-19,100067,417.8787,-1.5248,-0.0162
2024-01-22,100067,417.4595,-0.9416,-0.1003
2024-01-23,100067,415.3347,0.3158,-0.509
2024-01-24,100067,421.8249,-0.6332,1.5626
2024-01-25,100067,419.7887,-0.0597,-0.4827
2024-01-26,100067,427.6716,0.4428,1.8778
2024-01-29,100067,434.2293,0.2055,1.5333
2024-01-30,100067,432.7768,1.165,-0.3345
2024-01-31,100067,437.8121,-0.6419,1.1635
2024-02-01,100067,440.3052,0.3522,0.5694
2024-02-02,100067,445.8986,0.6463,1.2703
2024-02-05,100067,437.2231,0.8655,-1.9456
2024-02-06,100067,437.7137,0.2454,0.1122
2024-02-07,100067,434.4202,0.2903,-0.7524
2024-02-08,100067,434.3197,0.6066,-0.0231
2024-02-09,100067,427.405,1.4327,-1.5921
2024-02-12,100067,422.3908,0.9807,-1.1732
2024-02-13,100067,426.4007,0.1038,0.9493
2024-02-14,100067,429.3251,-0.1856,0.6858
2024-02-15,100067,429.2977,0.0518,-0.0064
2024-02-16,100067,430.2508,0.4495,0.222
2024-02-19,100067,433.0423,0.7713,0.6488
2024-02-20,100067,434.0375,0.4196,0.2298
2024-02-21,100067,436.4843,-0.3292,0.5637
2024-02-22,100067,445.6818,1.5596,2.1072
2024-02-23,100067,448.3703,-1.4102,0.6032
2024-02-26,100067,453.7986,-0.4959,1.2107
2024-02-27,100067,458.0604,-0.2374,0.9391
2024-02-28,100067,459.7518,1.4868,0.3693
2024-02-29,100067,458.9502,-0.2667,-0.1744
2024-03-01,100067,461.1478,1.6052,0.4788
2024-03-04,100067,461.2403,-0.6612,0.0201
2024-03-05,100067,458.1966,0.6003,-0.6599
