amfi_code,nav_date,nav,change_pct,scheme_name,fund_house,category,sub_category,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,alpha_ann,beta,sharpe_ratio,std_deviation,daily_return
100067,2024-01-01,425.7581,-0.364,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,
100067,2024-01-01,425.7581,-0.364,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-01,425.7581,-0.364,Aditya Birla Children's Direct Plan Growth,Aditya Birla,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-01,425.7581,-0.364,Mirae Asset Gilt Direct Plan Growth,Mirae Asset,Debt,Gilt,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-02,440.3052,0.3522,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.03416752376525545
100067,2024-01-02,440.3052,0.3522,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-02,440.3052,0.3522,Aditya Birla Children's Direct Plan Growth,Aditya Birla,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-02,440.3052,0.3522,Mirae Asset Gilt Direct Plan Growth,Mirae Asset,Debt,Gilt,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-03,461.1478,1.6052,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.047336710990467434
100067,2024-01-03,461.1478,1.6052,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-03,461.1478,1.6052,Aditya Birla Children's Direct Plan Growth,Aditya Birla,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-03,461.1478,1.6052,Mirae Asset Gilt Direct Plan Growth,Mirae Asset,Debt,Gilt,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-04,505.479,0.1213,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.09613230291893404
100067,2024-01-04,505.479,0.1213,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-04,505.479,0.1213,Aditya Birla Children's Direct Plan Growth,Aditya Birla,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-04,505.479,0.1213,Mirae Asset Gilt Direct Plan Growth,Mirae Asset,Debt,Gilt,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-05,509.6759,-1.318,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.008302817723387257
100067,2024-01-05,509.6759,-1.318,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-05,509.6759,-1.318,Aditya Birla Children's Direct Plan Growth,Aditya Birla,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-05,509.6759,-1.318,Mirae Asset Gilt Direct Plan Growth,Mirae Asset,Debt,Gilt,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-07,552.0446,1.5367,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.08312870983305265
100067,2024-01-07,552.0446,1.5367,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-07,552.0446,1.5367,Aditya Birla Children's Direct Plan Growth,Aditya Birla,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-07,552.0446,1.5367,Mirae Asset Gilt Direct Plan Growth,Mirae Asset,Debt,Gilt,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-08,580.0939,0.0582,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.050809843987243086
100067,2024-01-08,580.0939,0.0582,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-08,580.0939,0.0582,Aditya Birla Children's Direct Plan Growth,Aditya Birla,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-08,580.0939,0.0582,Mirae Asset Gilt Direct Plan Growth,Mirae Asset,Debt,Gilt,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
100067,2024-01-10,605.1879,-0.6151,HDFC ETF Direct Plan Growth,HDFC,Other,ETF,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0432585138371564
100067,2024-01-10,605.1879,-0.6151,ICICI Prudential Children's Direct Plan Growth,ICICI Prudential,Solution Oriented,Children's,0.2776,31.68,0.24,8.79,1.5058,0.8397,0.1774,10.3365,0.0
