investor_id,age_group,city_tier,risk_appetite,investment_cr,tenure_years,channel,gender
1,55+,Tier 1,Conservative,0.0278,14.9,Bank,F
2,18-25,Tier 1,Conservative,0.6865,1.9,Online,F
3,46-55,Tier 2,Moderate,0.4568,0.0,Distributor,F
4,26-35,Tier 1,Moderate,0.1227,1.5,Direct,F
5,55+,Tier 1,Conservative,0.3603,0.7,Bank,M
6,46-55,Tier 2,Conservative,0.7208,1.6,Direct,F
7,18-25,Tier 3,Aggressive,0.4009,2.9,Direct,F
8,36-45,Tier 1,Moderate,0.2527,10.1,Direct,M
9,26-35,Tier 3,Aggressive,0.0815,4.5,Bank,F
10,18-25,Tier 2,Moderate,0.4923,3.1,Online,F
11,46-55,Tier 1,Conservative,0.2717,0.0,Online,F
12,26-35,Tier 1,Moderate,1.6901,4.1,Direct,M
13,55+,Tier 1,Moderate,0.2024,4.2,Direct,M
14,18-25,Tier 1,Moderate,0.7032,4.8,Bank,M
15,55+,Tier 1,Conservative,0.3913,2.9,Direct,M
16,46-55,Tier 2,Moderate,0.2012,1.3,Online,F
17,18-25,Tier 3,Conservative,0.0608,1.7,Distributor,F
18,36-45,Tier 2,Moderate,0.2192,0.4,Distributor,M
19,18-25,Tier 1,Conservative,0.2527,2.6,Direct,F
20,36-45,Tier 2,Conservative,0.0711,4.5,Online,M
21,55+,Tier 1,Conservative,0.485,4.0,Bank,M
22,18-25,Tier 2,Aggressive,0.1289,4.2,Online,M
23,55+,Tier 2,Aggressive,1.176,2.4,Direct,M
24,36-45,Tier 1,Conservative,0.061,3.4,Online,F
25,18-25,Tier 2,Aggressive,0.3986,0.4,Online,F
26,26-35,Tier 1,Moderate,0.3458,2.0,Distributor,M
27,18-25,Tier 1,Aggressive,1.7059,2.2,Distributor,M
28,46-55,Tier 2,Moderate,0.2145,2.3,Online,M
29,46-55,Tier 2,Aggressive,0.1158,0.6,Direct,F
30,46-55,Tier 3,Conservative,0.9418,9.7,Bank,M
31,26-35,Tier 1,Moderate,0.0822,1.4,Direct,M
32,18-25,Tier 1,Moderate,0.942,0.9,Distributor,M
33,18-25,Tier 2,Conservative,0.0693,0.2,Bank,F
34,26-35,Tier 2,Aggressive,0.3876,5.1,Bank,F
35,18-25,Tier 1,Aggressive,0.1647,0.6,Online,M
36,46-55,Tier 1,Conservative,0.3356,7.3,Direct,F
37,36-45,Tier 2,Moderate,0.7956,0.2,Online,M
38,26-35,Tier 1,Conservative,0.4054,2.1,Bank,F
39,55+,Tier 1,Aggressive,0.786,1.0,Distributor,M
40,36-45,Tier 1,Conservative,0.0262,0.1,Online,M
41,36-45,Tier 1,Conservative,0.8095,11.7,Online,M
42,18-25,Tier 2,Moderate,0.3078,1.2,Distributor,M
43,55+,Tier 1,Conservative,0.4959,1.6,Direct,M
44,46-55,Tier 2,Moderate,0.271,1.1,Direct,F
45,55+,Tier 1,Aggressive,1.1183,4.3,Bank,M
46,36-45,Tier 1,Conservative,0.6783,0.7,Distributor,F
47,18-25,Tier 2,Moderate,0.0934,4.5,Online,M
48,36-45,Tier 2,Conservative,0.256,3.7,Bank,M
49,18-25,Tier 3,Aggressive,0.7682,4.0,Online,F
50,18-25,Tier 2,Aggressive,0.0973,1.9,Online,M
51,55+,Tier 2,Moderate,0.2443,1.1,Direct,F
52,55+,Tier 1,Conservative,0.8918,2.6,Direct,F
53,18-25,Tier 3,Conservative,0.1463,0.7,Distributor,F
54,46-55,Tier 1,Conservative,0.2569,1.3,Bank,F
55,18-25,Tier 1,Conservative,0.5563,4.6,Distributor,F
56,55+,Tier 1,Aggressive,0.1992,1.9,Direct,F
57,46-55,Tier 3,Aggressive,0.4272,0.4,Direct,F
58,18-25,Tier 2,Aggressive,0.3266,1.0,Distributor,M
59,18-25,Tier 1,Aggressive,0.4677,0.6,Online,F
60,26-35,Tier 3,Moderate,0.0156,1.0,Distributor,F
61,36-45,Tier 1,Moderate,2.0982,2.8,Online,F
62,46-55,Tier 3,Conservative,0.057,7.9,Direct,M
63,55+,Tier 2,Moderate,0.5481,3.0,Direct,M
64,46-55,Tier 2,Conservative,0.687,2.6,Distributor,F
65,36-45,Tier 2,Conservative,0.574,1.1,Bank,M
66,18-25,Tier 1,Moderate,0.5257,15.6,Online,M
67,55+,Tier 1,Conservative,0.5264,0.2,Bank,F
68,36-45,Tier 1,Moderate,0.2214,0.9,Distributor,M
69,36-45,Tier 1,Conservative,2.348,0.7,Direct,M
70,36-45,Tier 1,Conservative,0.0785,0.6,Online,M
71,46-55,Tier 1,Aggressive,0.1544,4.7,Online,M
72,26-35,Tier 1,Moderate,0.1517,2.1,Bank,M
73,36-45,Tier 1,Moderate,1.1078,1.3,Direct,M
74,36-45,Tier 1,Moderate,0.0198,3.8,Direct,M
75,26-35,Tier 1,Aggressive,0.2758,23.0,Direct,F
76,46-55,Tier 1,Aggressive,0.2776,3.7,Bank,M
77,18-25,Tier 2,Moderate,0.3646,5.3,Distributor,F
78,26-35,Tier 3,Conservative,0.5631,0.9,Online,M
79,18-25,Tier 3,Conservative,0.2481,1.5,Distributor,M
80,36-45,Tier 2,Conservative,0.1479,2.6,Bank,M
81,18-25,Tier 3,Moderate,1.3552,0.9,Distributor,F
82,55+,Tier 1,Moderate,0.2914,3.9,Online,M
83,36-45,Tier 3,Conservative,0.4712,1.0,Bank,F
84,18-25,Tier 2,Conservative,0.0737,3.3,Bank,F
85,18-25,Tier 3,Conservative,0.3034,3.6,Distributor,M
86,46-55,Tier 2,Conservative,0.3721,0.1,Bank,M
87,46-55,Tier 2,Conservative,0.3129,12.3,Online,M
88,18-25,Tier 1,Aggressive,0.4385,1.0,Online,M
89,36-45,Tier 1,Moderate,0.1165,8.5,Bank,M
90,55+,Tier 3,Moderate,0.118,5.2,Direct,M
91,46-55,Tier 3,Moderate,0.2774,11.5,Online,F
92,18-25,Tier 2,Aggressive,0.2655,3.6,Online,M
93,26-35,Tier 1,Aggressive,1.0288,1.6,Direct,M
94,55+,Tier 3,Moderate,0.4431,7.5,Distributor,F
95,26-35,Tier 2,Conservative,0.2406,3.2,Bank,M
96,55+,Tier 3,Moderate,0.0358,2.7,Bank,M
97,36-45,Tier 2,Aggressive,0.4253,1.2,Distributor,M
98,18-25,Tier 1,Moderate,0.2942,0.6,Bank,F
99,18-25,Tier 3,Aggressive,0.3026,0.1,Online,M
100,26-35,Tier 2,Moderate,0.454,2.9,Direct,M
101,46-55,Tier 2,Moderate,1.0912,0.3,Online,M
102,18-25,Tier 1,Moderate,1.6449,1.0,Online,M
103,55+,Tier 3,Moderate,0.5194,4.0,Direct,F
104,46-55,Tier 1,Conservative,1.3745,2.4,Distributor,M
105,26-35,Tier 1,Aggressive,0.1738,6.9,Direct,F
106,36-45,Tier 2,Aggressive,0.6511,0.7,Online,M
107,55+,Tier 1,Conservative,0.0941,2.7,Distributor,M
108,18-25,Tier 2,Moderate,2.2109,1.9,Direct,F
109,26-35,Tier 1,Conservative,0.1394,0.7,Bank,F
110,18-25,Tier 2,Moderate,0.6529,5.4,Direct,M
111,36-45,Tier 3,Aggressive,0.9614,14.2,Direct,F
112,36-45,Tier 1,Aggressive,0.1959,1.2,Bank,F
113,46-55,Tier 1,Conservative,0.8307,3.6,Bank,M
114,46-55,Tier 3,Conservative,0.1022,0.8,Direct,F
115,26-35,Tier 3,Conservative,0.0466,1.3,Distributor,F
116,26-35,Tier 3,Aggressive,0.86,4.7,Direct,M
117,18-25,Tier 1,Aggressive,0.0146,1.6,Direct,F
118,18-25,Tier 3,Conservative,0.4997,2.4,Direct,M
119,18-25,Tier 1,Moderate,0.617,1.7,Bank,M
120,26-35,Tier 3,Aggressive,2.2658,3.2,Online,M
121,36-45,Tier 1,Conservative,0.5932,1.0,Direct,F
122,18-25,Tier 2,Conservative,0.7553,3.3,Distributor,F
123,26-35,Tier 1,Conservative,0.6763,3.7,Direct,F
124,36-45,Tier 1,Moderate,0.0041,3.7,Online,M
125,46-55,Tier 1,Aggressive,0.2754,1.8,Direct,F
126,36-45,Tier 2,Conservative,0.241,1.2,Direct,M
127,18-25,Tier 2,Aggressive,0.8381,2.1,Distributor,M
128,55+,Tier 1,Aggressive,0.3691,0.9,Direct,M
129,36-45,Tier 3,Conservative,0.2052,8.3,Distributor,M
130,18-25,Tier 2,Conservative,0.2026,1.6,Online,M
131,46-55,Tier 1,Moderate,0.0026,2.2,Distributor,M
132,18-25,Tier 2,Aggressive,0.2121,2.1,Distributor,M
133,26-35,Tier 2,Conservative,0.2885,2.6,Bank,M
134,36-45,Tier 1,Moderate,1.6348,7.9,Distributor,F
135,55+,Tier 3,Moderate,0.1612,0.7,Bank,M
136,36-45,Tier 2,Moderate,0.2977,5.9,Distributor,M
137,46-55,Tier 1,Conservative,1.1056,6.6,Bank,M
138,18-25,Tier 3,Conservative,0.0895,7.7,Distributor,F
139,26-35,Tier 1,Aggressive,0.2555,0.9,Bank,M
140,55+,Tier 2,Moderate,0.2836,1.5,Direct,None
141,26-35,Tier 2,Moderate,0.7767,4.5,Bank,F
142,46-55,Tier 1,Moderate,0.0163,8.1,Bank,F
143,46-55,Tier 3,Conservative,0.0134,1.8,Direct,M
144,26-35,Tier 1,Conservative,0.2513,5.2,Distributor,M
145,26-35,Tier 3,Conservative,0.3046,0.6,Online,F
146,55+,Tier 2,Moderate,0.3893,0.0,Online,M
147,36-45,Tier 1,Conservative,0.3524,9.3,Direct,F
148,26-35,Tier 3,Moderate,1.3347,0.8,Bank,M
149,26-35,Tier 2,Conservative,1.3193,0.6,Bank,M
150,18-25,Tier 3,Moderate,1.4174,3.5,Bank,F
151,36-45,Tier 1,Moderate,0.1437,0.5,Online,F
152,36-45,Tier 1,Conservative,0.629,6.9,Bank,M
153,26-35,Tier 1,Moderate,0.1823,6.0,Direct,M
154,46-55,Tier 3,Moderate,0.2894,0.8,Online,M
155,55+,Tier 2,Aggressive,0.5564,5.5,Bank,M
156,36-45,Tier 3,Conservative,0.6666,2.5,Distributor,F
157,46-55,Tier 1,Conservative,0.1321,0.4,Bank,M
158,36-45,Tier 1,Aggressive,0.3778,1.3,Online,M
159,46-55,Tier 3,Conservative,1.1813,2.0,Online,F
160,26-35,Tier 3,Aggressive,0.016,1.1,Direct,F
161,36-45,Tier 3,Aggressive,0.6104,3.0,Bank,F
162,36-45,Tier 1,Aggressive,0.1739,0.8,Online,M
163,36-45,Tier 3,Conservative,0.6048,1.2,Bank,F
164,46-55,Tier 3,Aggressive,0.4552,0.4,Online,M
165,46-55,Tier 1,Conservative,0.4541,4.0,Direct,F
166,26-35,Tier 1,Aggressive,1.2141,18.3,Online,F
167,36-45,Tier 1,Conservative,1.0564,4.8,Online,M
168,55+,Tier 2,Conservative,0.2118,0.6,Distributor,M
169,55+,Tier 3,Moderate,0.2873,5.0,Bank,M
170,26-35,Tier 2,Aggressive,0.2246,6.6,Distributor,M
171,46-55,Tier 1,Aggressive,0.0055,8.8,Bank,M
172,46-55,Tier 1,Moderate,0.0828,1.0,Online,F
173,36-45,Tier 1,Conservative,0.1801,3.4,Bank,M
174,55+,Tier 1,Aggressive,0.1708,3.3,Direct,F
175,26-35,Tier 2,Conservative,1.0122,3.1,Bank,M
176,46-55,Tier 1,Conservative,0.4974,1.0,Bank,F
177,36-45,Tier 3,Moderate,0.3609,4.5,Direct,M
178,26-35,Tier 1,Conservative,0.0036,0.4,Online,F
179,55+,Tier 1,Conservative,0.4753,0.5,Online,M
180,36-45,Tier 3,Moderate,0.2679,0.9,Direct,M
181,36-45,Tier 1,Moderate,0.143,1.3,Bank,M
182,26-35,Tier 1,Aggressive,0.1169,3.2,Distributor,F
183,55+,Tier 1,Conservative,1.8245,7.6,Bank,M
184,36-45,Tier 1,Conservative,0.2446,2.6,Bank,M
185,26-35,Tier 1,Conservative,1.3291,5.2,Bank,M
186,55+,Tier 2,Aggressive,2.9315,0.8,Direct,M
187,18-25,Tier 1,Conservative,1.313,4.4,Online,M
188,36-45,Tier 3,Aggressive,0.4628,0.1,Direct,M
189,18-25,Tier 3,Moderate,0.5529,0.9,Direct,M
190,26-35,Tier 2,Aggressive,0.0905,0.1,Distributor,M
191,18-25,Tier 2,Aggressive,0.2888,1.0,Distributor,M
192,55+,Tier 2,Conservative,0.5621,2.1,Online,M
193,36-45,Tier 1,Moderate,0.0995,2.2,Bank,M
194,26-35,Tier 1,Moderate,0.0403,0.3,Distributor,F
195,36-45,Tier 2,Aggressive,0.2682,3.6,Direct,F
196,26-35,Tier 3,Conservative,1.0053,3.6,Direct,M
197,36-45,Tier 2,Conservative,0.0365,6.5,Online,F
198,46-55,Tier 2,Moderate,0.4295,0.7,Direct,F
199,55+,Tier 3,Moderate,0.3068,3.8,Direct,F
200,36-45,Tier 2,Aggressive,0.1693,5.5,Direct,F
201,46-55,Tier 1,Conservative,0.3454,1.1,Online,F
202,26-35,Tier 1,Moderate,0.2704,2.1,Online,F
203,26-35,Tier 2,Conservative,1.089,3.6,Distributor,M
204,18-25,Tier 1,Conservative,2.0195,2.8,Direct,M
205,18-25,Tier 1,Aggressive,0.9069,2.1,Online,F
206,26-35,Tier 2,Conservative,0.2488,0.7,Online,F
207,55+,Tier 1,Moderate,0.0781,4.9,Bank,M
208,18-25,Tier 1,Aggressive,0.0838,1.6,Online,M
209,46-55,Tier 3,Conservative,0.2232,0.4,Bank,None
210,46-55,Tier 3,Conservative,0.5765,9.6,Bank,M
211,46-55,Tier 3,Aggressive,0.7262,0.4,Online,M
212,55+,Tier 1,Moderate,0.0302,2.4,Bank,F
213,18-25,Tier 3,Aggressive,1.0216,1.0,Direct,None
214,26-35,Tier 1,Moderate,0.0473,0.5,Direct,M
215,18-25,Tier 2,Moderate,0.6074,2.7,Online,M
216,26-35,Tier 2,Aggressive,0.0524,1.3,Bank,M
217,55+,Tier 1,Aggressive,0.1303,7.3,Distributor,F
218,55+,Tier 2,Conservative,0.3151,0.1,Direct,M
219,46-55,Tier 2,Moderate,0.2193,2.2,Direct,F
220,18-25,Tier 2,Aggressive,0.0077,0.2,Direct,F
221,46-55,Tier 1,Conservative,0.0324,1.6,Distributor,F
222,46-55,Tier 3,Conservative,0.2806,6.4,Bank,F
223,46-55,Tier 1,Aggressive,0.7448,5.8,Direct,M
224,36-45,Tier 1,Conservative,0.4773,5.2,Direct,M
225,18-25,Tier 2,Aggressive,0.1843,3.4,Distributor,F
226,36-45,Tier 1,Conservative,0.2003,0.2,Distributor,M
227,46-55,Tier 1,Moderate,0.0319,0.4,Direct,M
228,36-45,Tier 2,Conservative,0.6571,0.6,Direct,F
229,36-45,Tier 3,Aggressive,2.4309,1.9,Online,F
230,55+,Tier 2,Moderate,1.4103,5.6,Distributor,M
231,55+,Tier 2,Conservative,0.886,0.2,Direct,F
232,55+,Tier 3,Aggressive,0.8418,1.2,Bank,M
233,26-35,Tier 2,Aggressive,0.9502,3.2,Online,F
234,18-25,Tier 2,Moderate,0.0939,1.8,Online,F
235,18-25,Tier 1,Conservative,0.0071,0.4,Direct,F
236,55+,Tier 1,Conservative,1.0629,0.7,Direct,M
237,46-55,Tier 1,Aggressive,0.9877,1.1,Bank,M
238,18-25,Tier 1,Conservative,0.3377,2.5,Distributor,F
239,55+,Tier 2,Moderate,0.4445,4.1,Distributor,M
240,46-55,Tier 1,Aggressive,0.7676,1.8,Online,M
241,36-45,Tier 2,Moderate,0.5802,0.5,Distributor,F
242,18-25,Tier 1,Moderate,0.2072,2.1,Direct,F
243,55+,Tier 2,Aggressive,0.2239,5.3,Direct,F
244,36-45,Tier 1,Moderate,0.3821,8.0,Distributor,M
245,18-25,Tier 2,Moderate,0.398,3.7,Direct,M
246,26-35,Tier 3,Conservative,0.4628,5.4,Direct,F
247,46-55,Tier 2,Aggressive,0.0251,0.6,Direct,F
248,36-45,Tier 1,Moderate,0.0262,4.5,Online,M
249,55+,Tier 3,Conservative,0.2173,7.2,Online,F
250,26-35,Tier 1,Conservative,2.1449,5.3,Bank,None
251,26-35,Tier 1,Moderate,0.218,0.9,Online,M
252,26-35,Tier 1,Moderate,0.3897,0.3,Online,F
253,55+,Tier 1,Conservative,2.2354,0.1,Online,M
254,18-25,Tier 1,Moderate,0.2069,2.7,Direct,M
255,46-55,Tier 3,Moderate,1.7139,1.6,Bank,M
256,46-55,Tier 1,Conservative,0.0763,2.0,Direct,M
257,46-55,Tier 2,Conservative,0.0684,1.1,Online,M
258,46-55,Tier 1,Moderate,0.0126,0.9,Bank,F
259,46-55,Tier 1,Moderate,1.3509,0.5,Distributor,F
260,55+,Tier 2,Moderate,0.4857,3.5,Distributor,F
261,26-35,Tier 1,Moderate,0.6949,4.2,Bank,M
262,46-55,Tier 3,Conservative,0.6536,0.1,Bank,M
263,26-35,Tier 1,Moderate,0.7169,1.9,Bank,F
264,18-25,Tier 1,Moderate,0.042,5.2,Bank,M
265,26-35,Tier 1,Aggressive,0.1993,7.1,Direct,M
266,36-45,Tier 1,Moderate,1.0868,1.2,Direct,F
267,46-55,Tier 1,Moderate,0.305,3.8,Direct,F
268,18-25,Tier 1,Conservative,0.0248,0.3,Online,M
269,26-35,Tier 1,Conservative,0.0429,8.3,Distributor,M
270,18-25,Tier 1,Aggressive,0.1084,0.2,Distributor,M
271,18-25,Tier 2,Conservative,0.2727,0.4,Online,F
272,55+,Tier 3,Conservative,1.9997,0.9,Distributor,F
273,36-45,Tier 1,Aggressive,1.106,6.2,Direct,F
274,18-25,Tier 3,Aggressive,0.2502,1.1,Direct,M
275,26-35,Tier 3,Conservative,0.1635,1.9,Direct,M
276,26-35,Tier 2,Moderate,0.3313,3.1,Online,F
277,46-55,Tier 3,Moderate,0.5701,0.1,Direct,M
278,46-55,Tier 2,Aggressive,0.134,2.1,Distributor,M
279,55+,Tier 1,Conservative,1.3388,3.4,Bank,M
280,55+,Tier 1,Conservative,1.4868,5.2,Bank,M
281,36-45,Tier 3,Moderate,0.0902,0.1,Direct,M
282,46-55,Tier 2,Conservative,1.8066,0.3,Bank,M
283,55+,Tier 1,Moderate,0.1482,4.2,Direct,F
284,18-25,Tier 1,Moderate,0.7743,0.8,Online,M
285,18-25,Tier 2,Moderate,0.5644,2.0,Bank,F
286,18-25,Tier 1,Aggressive,0.1363,7.2,Direct,M
287,36-45,Tier 1,Conservative,0.2984,0.5,Distributor,M
288,55+,Tier 1,Conservative,0.0737,0.4,Direct,F
289,36-45,Tier 1,Aggressive,0.3905,1.2,Direct,M
290,26-35,Tier 2,Moderate,0.8476,6.8,Direct,M
291,55+,Tier 2,Moderate,0.9398,8.3,Direct,M
292,18-25,Tier 1,Conservative,0.6148,4.5,Bank,F
293,36-45,Tier 3,Conservative,0.1758,0.9,Distributor,M
294,46-55,Tier 1,Conservative,0.2466,7.8,Distributor,M
295,46-55,Tier 2,Aggressive,0.0388,0.9,Direct,F
296,46-55,Tier 2,Conservative,0.0389,0.7,Direct,F
297,18-25,Tier 1,Aggressive,0.6302,0.7,Distributor,M
298,18-25,Tier 2,Aggressive,0.1745,6.8,Direct,M
299,26-35,Tier 1,Conservative,0.0619,0.0,Online,M
300,36-45,Tier 1,Conservative,0.246,4.2,Bank,M
301,36-45,Tier 2,Conservative,0.085,1.4,Direct,F
302,55+,Tier 2,Conservative,0.0786,0.6,Bank,M
303,55+,Tier 2,Moderate,0.7176,1.5,Distributor,F
304,55+,Tier 2,Aggressive,0.2705,0.1,Direct,F
305,26-35,Tier 2,Conservative,0.0716,6.4,Direct,M
306,18-25,Tier 2,Aggressive,0.1721,5.6,Direct,M
307,46-55,Tier 1,Conservative,0.3701,9.8,Distributor,F
308,55+,Tier 2,Conservative,0.6311,0.4,Direct,F
309,36-45,Tier 1,Conservative,0.2837,1.2,Distributor,F
310,46-55,Tier 2,Moderate,0.4704,4.5,Online,M
311,55+,Tier 2,Conservative,0.0759,3.3,Distributor,F
312,46-55,Tier 3,Aggressive,0.133,3.2,Direct,F
313,26-35,Tier 3,Moderate,1.0733,4.5,Bank,M
314,46-55,Tier 1,Conservative,0.3352,6.5,Direct,F
315,26-35,Tier 3,Moderate,0.484,0.7,Bank,None
316,36-45,Tier 2,Conservative,0.5731,1.3,Online,F
317,46-55,Tier 1,Conservative,0.0789,11.5,Direct,M
318,55+,Tier 2,Aggressive,0.7643,6.5,Online,M
319,18-25,Tier 1,Aggressive,0.0805,1.7,Direct,F
320,36-45,Tier 1,Aggressive,0.0785,1.3,Online,M
321,46-55,Tier 1,Moderate,1.4717,5.4,Direct,F
322,55+,Tier 3,Moderate,0.4429,0.8,Direct,F
323,26-35,Tier 1,Conservative,0.3907,5.2,Online,M
324,55+,Tier 3,Aggressive,0.6908,3.2,Bank,F
325,55+,Tier 1,Aggressive,0.0268,10.6,Online,F
326,36-45,Tier 1,Aggressive,0.1151,1.0,Online,M
327,36-45,Tier 1,Aggressive,1.3698,0.4,Direct,F
328,36-45,Tier 1,Conservative,0.4023,4.2,Distributor,M
329,55+,Tier 1,Aggressive,0.8053,5.0,Direct,M
330,55+,Tier 1,Aggressive,0.587,0.2,Bank,M
331,55+,Tier 1,Conservative,0.4897,0.8,Bank,M
332,26-35,Tier 1,Aggressive,1.1521,2.7,Bank,F
333,26-35,Tier 1,Conservative,0.1705,0.8,Bank,F
334,26-35,Tier 3,Conservative,0.4932,3.1,Direct,M
335,36-45,Tier 2,Aggressive,0.2705,0.8,Distributor,M
336,36-45,Tier 1,Conservative,0.0095,7.1,Online,M
337,26-35,Tier 1,Conservative,1.4841,0.3,Distributor,F
338,55+,Tier 1,Conservative,0.0913,1.6,Direct,F
339,18-25,Tier 3,Conservative,1.0241,2.3,Direct,F
340,55+,Tier 1,Aggressive,0.1774,2.1,Distributor,M
341,55+,Tier 2,Conservative,0.0424,0.1,Direct,F
342,55+,Tier 3,Aggressive,0.1673,0.1,Online,F
343,55+,Tier 1,Aggressive,0.3718,2.2,Direct,M
344,55+,Tier 3,Aggressive,0.1284,1.8,Online,F
345,26-35,Tier 3,Moderate,0.5454,3.4,Bank,M
346,55+,Tier 1,Aggressive,0.0103,0.4,Direct,F
347,55+,Tier 1,Aggressive,0.1707,4.5,Distributor,F
348,26-35,Tier 1,Moderate,0.6864,1.5,Direct,F
349,55+,Tier 2,Aggressive,0.013,0.8,Direct,M
350,26-35,Tier 2,Conservative,0.4094,2.9,Online,F
351,36-45,Tier 1,Aggressive,3.0876,6.1,Direct,F
352,55+,Tier 1,Moderate,0.4445,3.1,Online,M
353,46-55,Tier 1,Moderate,0.4144,6.9,Online,M
354,18-25,Tier 2,Aggressive,0.4949,4.1,Online,M
355,55+,Tier 1,Moderate,0.5898,5.7,Direct,F
356,46-55,Tier 1,Aggressive,0.6842,0.5,Online,M
357,55+,Tier 1,Aggressive,0.749,6.4,Distributor,M
358,46-55,Tier 1,Conservative,0.5371,2.4,Online,M
359,26-35,Tier 1,Aggressive,1.2806,1.7,Bank,M
360,46-55,Tier 1,Conservative,0.6415,0.2,Distributor,M
361,46-55,Tier 2,Conservative,0.0966,4.2,Distributor,M
362,26-35,Tier 1,Aggressive,0.1108,2.7,Distributor,F
363,36-45,Tier 2,Aggressive,0.0632,6.8,Bank,M
364,55+,Tier 3,Conservative,0.1362,5.7,Online,M
365,18-25,Tier 1,Moderate,0.0712,2.3,Online,F
366,46-55,Tier 1,Moderate,0.2481,0.5,Bank,M
367,55+,Tier 3,Aggressive,0.6552,1.9,Direct,M
368,46-55,Tier 1,Moderate,0.0565,1.1,Direct,M
369,26-35,Tier 1,Moderate,0.192,1.3,Online,None
370,46-55,Tier 2,Aggressive,0.0768,0.2,Online,F
371,46-55,Tier 2,Conservative,0.5231,1.0,Bank,M
372,26-35,Tier 2,Aggressive,0.3914,3.9,Bank,F
373,46-55,Tier 1,Moderate,0.6353,5.1,Bank,F
374,26-35,Tier 1,Aggressive,0.0904,2.5,Bank,M
375,36-45,Tier 1,Moderate,1.0972,0.5,Bank,M
376,46-55,Tier 1,Aggressive,0.5119,3.9,Distributor,M
377,18-25,Tier 1,Aggressive,0.0776,4.9,Online,M
378,18-25,Tier 1,Conservative,0.3312,1.7,Bank,M
379,46-55,Tier 3,Aggressive,0.4786,3.3,Direct,F
380,55+,Tier 1,Aggressive,1.0572,5.0,Bank,M
381,55+,Tier 2,Conservative,0.1628,1.7,Direct,M
382,46-55,Tier 1,Moderate,0.1204,0.4,Distributor,M
383,18-25,Tier 2,Aggressive,0.141,1.7,Bank,M
