investor_id,n_sips,first_sip,last_sip,avg_sip_amount,avg_gap_days,at_risk,sip_tenure_months
INV000001,2,2024-11-04,2025-01-19,23973.0,76.0,False,2.5
INV000002,3,2024-03-29,2025-05-17,2624.6666666666665,207.0,False,13.8
INV000003,2,2024-07-16,2025-03-11,8930.5,238.0,False,7.9
INV000004,6,2024-03-16,2025-05-17,8042.666666666667,85.4,True,14.2
INV000005,3,2024-09-13,2024-10-11,19215.333333333332,14.0,False,0.9
INV000006,5,2024-01-02,2025-05-11,9716.4,123.75,False,16.5
INV000007,5,2024-01-03,2025-02-24,16484.0,104.5,False,13.9
INV000008,6,2024-05-27,2025-05-14,12142.166666666666,70.4,True,11.7
INV000009,4,2024-02-20,2024-11-02,24409.5,85.33333333333333,False,8.5
INV000010,6,2024-04-11,2025-03-01,5363.833333333333,64.8,True,10.8
INV000011,7,2024-01-03,2024-08-31,13417.142857142857,40.166666666666664,True,8.0
INV000012,8,2024-03-27,2025-04-30,5017.375,57.0,True,13.3
INV000013,7,2024-04-18,2025-03-16,10801.857142857143,55.333333333333336,True,11.1
INV000014,7,2024-02-23,2025-05-20,20045.0,75.33333333333333,True,15.1
INV000015,1,2025-01-05,2025-01-05,48468.0,,False,0.0
INV000016,1,2024-06-18,2024-06-18,28090.0,,False,0.0
INV000017,1,2025-03-23,2025-03-23,12884.0,,False,0.0
INV000018,2,2025-01-18,2025-03-09,5908.5,50.0,False,1.7
INV000019,3,2024-01-17,2025-03-02,12683.0,4.0,False,13.7
INV000020,2,2024-06-28,2024-07-14,2821.0,16.0,False,0.5
INV000021,3,2024-06-06,2025-03-21,24558.666666666668,144.0,False,9.6
INV000022,2,2024-05-18,2024-06-27,6110.5,40.0,False,1.3
INV000023,8,2024-03-21,2025-05-05,25316.125,58.57142857142857,True,13.7
INV000024,5,2024-05-05,2025-03-04,13391.0,75.75,False,10.1
INV000025,1,2024-05-01,2024-05-01,13678.0,,False,0.0
INV000026,4,2024-01-18,2025-03-27,12945.5,144.66666666666666,False,14.5
INV000027,2,2024-05-29,2025-05-05,9539.0,341.0,False,11.4
INV000028,6,2024-02-07,2025-05-20,14043.666666666666,93.6,True,15.6
INV000029,7,2024-05-16,2025-05-15,12858.857142857143,60.666666666666664,True,12.1
INV000030,9,2024-02-19,2025-03-06,8496.666666666666,47.625,True,12.7
INV000031,3,2024-07-13,2025-04-29,4573.666666666667,145.0,False,9.7
INV000032,4,2024-03-01,2025-01-02,5199.0,102.33333333333333,False,10.2
INV000033,8,2024-06-24,2025-05-09,5754.125,45.57142857142857,True,10.6
INV000034,1,2025-02-10,2025-02-10,936.0,,False,0.0
INV000035,2,2024-11-11,2025-04-04,855.0,144.0,False,4.8
INV000036,2,2024-05-29,2024-09-05,5529.5,99.0,False,3.3
INV000037,2,2024-11-22,2025-01-24,4683.5,63.0,False,2.1
INV000038,4,2024-08-14,2025-03-09,18007.5,69.0,False,6.9
INV000039,6,2024-04-27,2025-04-05,16556.333333333332,68.6,True,11.4
INV000040,5,2024-06-26,2025-02-01,15109.4,55.0,False,7.3
INV000041,1,2024-09-30,2024-09-30,2747.0,,False,0.0
INV000042,4,2025-03-14,2025-05-21,21513.5,22.666666666666668,False,2.3
INV000043,1,2025-03-31,2025-03-31,22261.0,,False,0.0
