amfi_code,nav_date,nav,change_pct
100067,01-01-2024,425.7581,-0.364
100067,02-01-2024,421.6907,-1.4491
100067,03-01-2024,412.8895,1.0618
100067,04-01-2024,409.2754,0.6136
100067,05-01-2024,406.2717,1.6353
100067,08-01-2024,405.4005,-0.4699
100067,09-01-2024,408.2261,0.3757
100067,10-01-2024,410.3506,-0.0428
100067,11-01-2024,417.5828,0.3377
100067,12-01-2024,422.0415,-0.9766
100067,15-01-2024,422.1141,0.1827
100067,16-01-2024,425.601,-0.0602
100067,17-01-2024,421.7952,-0.8685
100067,18-01-2024,417.9466,0.6307
100067,19-01-2024,417.8787,-1.5248
100067,22-01-2024,417.4595,-0.9416
100067,23-01-2024,415.3347,0.3158
100067,24-01-2024,421.8249,-0.6332
100067,25-01-2024,419.7887,-0.0597
100067,26-01-2024,427.6716,0.4428
100067,29-01-2024,434.2293,0.2055
100067,30-01-2024,432.7768,1.165
100067,31-01-2024,437.8121,-0.6419
100067,01-02-2024,440.3052,0.3522
100067,02-02-2024,445.8986,0.6463
100067,05-02-2024,437.2231,0.8655
100067,06-02-2024,437.7137,0.2454
100067,07-02-2024,434.4202,0.2903
100067,08-02-2024,434.3197,0.6066
100067,09-02-2024,427.405,1.4327
100067,12-02-2024,422.3908,0.9807
100067,13-02-2024,426.4007,0.1038
100067,14-02-2024,429.3251,-0.1856
100067,15-02-2024,429.2977,0.0518
100067,16-02-2024,430.2508,0.4495
100067,19-02-2024,433.0423,0.7713
100067,20-02-2024,434.0375,0.4196
100067,21-02-2024,436.4843,-0.3292
100067,22-02-2024,445.6818,1.5596
100067,23-02-2024,448.3703,-1.4102
100067,26-02-2024,453.7986,-0.4959
100067,27-02-2024,458.0604,-0.2374
100067,28-02-2024,459.7518,1.4868
100067,29-02-2024,458.9502,-0.2667
100067,01-03-2024,461.1478,1.6052
100067,04-03-2024,461.2403,-0.6612
100067,05-03-2024,458.1966,0.6003
100067,06-03-2024,460.143,0.1066
100067,07-03-2024,458.4504,0.5837
100067,08-03-2024,468.4752,-0.0715
100067,11-03-2024,479.363,-0.2445
100067,12-03-2024,471.724,0.6558
100067,13-03-2024,472.0487,0.2166
100067,14-03-2024,476.0928,-1.8814
100067,15-03-2024,479.7833,1.1058
100067,18-03-2024,485.0928,-1.235
100067,19-03-2024,488.2273,-0.6551
100067,20-03-2024,488.0101,-0.1128
100067,21-03-2024,485.8285,0.5242
100067,22-03-2024,487.7337,2.0307
100067,25-03-2024,489.3591,-0.1396
100067,26-03-2024,490.5803,0.1799
100067,27-03-2024,493.3979,-1.1755
100067,28-03-2024,497.2835,0.1419
100067,29-03-2024,491.9204,1.4795
100067,01-04-2024,505.479,0.1213
100067,02-04-2024,504.8323,0.7089
100067,03-04-2024,503.1297,0.0445
100067,04-04-2024,499.5564,-0.3014
100067,05-04-2024,497.3121,1.0153
100067,08-04-2024,500.9837,0.8508
100067,09-04-2024,507.5077,0.2359
100067,10-04-2024,507.3289,-1.6142
100067,11-04-2024,506.5909,0.0779
100067,12-04-2024,500.3897,1.8217
100067,15-04-2024,503.5715,0.8716
100067,16-04-2024,506.1893,-0.4866
100067,17-04-2024,503.8382,0.1667
100067,18-04-2024,512.055,-0.669
100067,19-04-2024,511.9753,0.2546
100067,22-04-2024,515.783,1.1416
100067,23-04-2024,509.3489,0.809
100067,24-04-2024,516.4602,0.511
100067,25-04-2024,518.5972,0.565
100067,26-04-2024,522.3494,0.4114
100067,29-04-2024,512.5646,-0.7688
100067,30-04-2024,504.8963,-1.3506
100067,01-05-2024,509.6759,-1.318
100067,02-05-2024,511.764,-0.0144
100067,03-05-2024,507.2294,0.5862
100067,06-05-2024,496.7054,0.2484
100067,07-05-2024,498.147,0.661
100067,08-05-2024,494.2306,-0.7267
100067,09-05-2024,494.832,1.086
100067,10-05-2024,496.463,1.2472
100067,13-05-2024,507.1804,1.3704
100067,14-05-2024,497.8881,-0.3681
100067,15-05-2024,497.2851,-0.5298
100067,16-05-2024,499.6083,-0.3961
100067,17-05-2024,501.4983,0.7132
100067,20-05-2024,488.4279,-0.3638
100067,21-05-2024,490.6918,-1.2187
100067,22-05-2024,493.312,-0.1828
100067,23-05-2024,492.5098,0.3817
100067,24-05-2024,492.194,-0.092
100067,27-05-2024,497.6131,-0.6547
100067,28-05-2024,496.6255,1.0366
100067,29-05-2024,490.7958,0.5718
100067,30-05-2024,491.1598,-0.8175
100067,31-05-2024,486.0472,-0.0311
100067,03-06-2024,495.5615,0.4017
100067,04-06-2024,492.21,0.6882
100067,05-06-2024,499.0146,0.1311
100067,06-06-2024,504.1465,0.1436
100067,07-06-2024,510.3485,0.9248
100067,10-06-2024,514.6191,0.8341
100067,11-06-2024,518.2337,-1.1762
100067,12-06-2024,523.6844,-0.4878
100067,13-06-2024,530.7751,-0.2103
100067,14-06-2024,533.0731,0.0744
100067,17-06-2024,551.701,-0.7852
100067,18-06-2024,556.6587,-0.2762
100067,19-06-2024,562.3967,1.0398
100067,20-06-2024,561.3671,-1.1556
100067,21-06-2024,562.4271,0.0648
100067,24-06-2024,560.3816,-0.7149
100067,25-06-2024,557.1836,-0.0193
100067,26-06-2024,549.9645,0.0795
100067,27-06-2024,547.0101,0.8904
100067,28-06-2024,547.5994,-0.3024
100067,01-07-2024,552.0446,1.5367
100067,02-07-2024,555.0763,0.0854
100067,03-07-2024,553.7738,1.6832
100067,04-07-2024,552.1901,-0.1414
100067,05-07-2024,547.7263,-0.1149
100067,08-07-2024,561.9346,0.7271
100067,09-07-2024,566.9804,-0.3508
100067,10-07-2024,573.5914,-0.2075
100067,11-07-2024,568.6831,0.3578
100067,12-07-2024,568.5478,-0.6273
100067,15-07-2024,571.8639,1.5052
100067,16-07-2024,565.9294,-2.4133
100067,17-07-2024,573.3086,-0.0684
100067,18-07-2024,577.832,-0.1407
100067,19-07-2024,579.6063,-0.8036
100067,22-07-2024,577.0842,-0.3267
100067,23-07-2024,581.356,0.2514
100067,24-07-2024,583.8389,0.2592
100067,25-07-2024,576.3819,-0.482
100067,26-07-2024,574.7364,0.3281
100067,29-07-2024,577.7363,-1.5047
100067,30-07-2024,581.0199,-0.1986
100067,31-07-2024,576.1263,-1.7329
100067,01-08-2024,580.0939,0.0582
100067,02-08-2024,569.7238,0.2716
100067,05-08-2024,574.6301,1.7308
100067,06-08-2024,567.4278,0.8306
100067,07-08-2024,567.7848,-0.1065
100067,08-08-2024,568.9304,-1.7264
100067,09-08-2024,568.4289,0.7657
100067,12-08-2024,557.8709,-0.0673
100067,13-08-2024,554.45,-0.9196
100067,14-08-2024,556.5923,-1.012
100067,15-08-2024,563.0916,-0.268
100067,16-08-2024,566.2642,-0.7764
100067,19-08-2024,558.9602,-0.1092
100067,20-08-2024,562.7004,-0.9997
100067,21-08-2024,581.0221,-0.4251
100067,22-08-2024,582.6716,-1.0819
100067,23-08-2024,584.6846,0.1006
100067,26-08-2024,590.5191,-0.6149
100067,27-08-2024,592.1097,-0.0201
100067,28-08-2024,595.7718,0.5172
100067,29-08-2024,603.7642,1.0629
100067,30-08-2024,602.2723,0.0264
100067,02-09-2024,589.1254,1.6019
100067,03-09-2024,583.4485,-0.078
100067,04-09-2024,580.2137,-0.9911
100067,05-09-2024,588.9533,0.1775
100067,06-09-2024,583.5793,-0.0518
100067,09-09-2024,579.8969,0.6879
100067,10-09-2024,587.3181,0.1163
100067,11-09-2024,584.8531,1.7321
100067,12-09-2024,586.3331,0.6522
100067,13-09-2024,586.5343,-0.1403
100067,16-09-2024,596.6673,1.0764
100067,17-09-2024,588.1933,0.5475
100067,18-09-2024,598.4644,0.6414
100067,19-09-2024,603.7854,-0.3121
100067,20-09-2024,607.3925,-0.6473
100067,23-09-2024,616.5368,-0.2387
100067,24-09-2024,610.22,-0.5046
100067,25-09-2024,606.3233,0.9878
100067,26-09-2024,611.5091,0.8178
100067,27-09-2024,608.013,-0.5561
100067,30-09-2024,603.1738,-0.0273
100067,01-10-2024,605.1879,-0.6151
100067,02-10-2024,601.5714,-0.5451
100067,03-10-2024,603.0744,0.4544
100067,04-10-2024,593.3737,0.4944
100067,07-10-2024,600.4646,0.4361
100067,08-10-2024,594.9025,-0.0168
100067,09-10-2024,593.4446,-1.1919
100067,10-10-2024,587.9238,-0.2231
100067,11-10-2024,583.8381,0.5815
100067,14-10-2024,597.557,-1.1494
100067,15-10-2024,601.7141,1.2209
100067,16-10-2024,593.2465,0.7273
100067,17-10-2024,601.0601,-0.2969
100067,18-10-2024,599.0106,-1.0777
100067,21-10-2024,594.5433,0.7312
100067,22-10-2024,591.4268,2.9835
100067,23-10-2024,590.0291,-0.3063
100067,24-10-2024,590.3457,-0.6914
100067,25-10-2024,586.3962,-1.1428
100067,28-10-2024,588.2013,-1.0886
100067,29-10-2024,589.0884,-1.1926
100067,30-10-2024,585.7855,0.4519
100067,31-10-2024,578.3114,0.2772
100067,01-11-2024,582.7279,0.8815
100067,04-11-2024,572.6393,1.1803
100067,05-11-2024,577.0177,0.9043
100067,06-11-2024,579.5072,0.6522
100067,07-11-2024,589.4863,0.1756
100067,08-11-2024,586.7052,1.1874
100067,11-11-2024,587.978,1.5331
100067,12-11-2024,589.8593,0.2341
100067,13-11-2024,587.575,-0.2537
100067,14-11-2024,584.0548,-0.8633
100067,15-11-2024,584.8889,0.9524
100067,18-11-2024,583.851,-1.3202
100067,19-11-2024,581.588,-1.7236
100067,20-11-2024,588.4035,-0.1528
